Input Size,Prediction Horizon,MAE,MSE,CORR
2.0,2.0,28.8966,1321.4262,0.8064
2.0,4.0,52.3263,3877.0408,0.4411
2.0,12.0,58.4003,4766.8097,0.2162
4.0,2.0,28.4483,1306.4377,0.8027
4.0,4.0,47.0095,3224.635,0.4131
4.0,12.0,57.3487,4611.1546,0.2127
6.0,2.0,27.5215,1250.9452,0.8026
6.0,4.0,42.0172,2751.5836,0.3943
6.0,12.0,56.9051,4634.0338,0.1848
8.0,2.0,26.3202,1141.5719,0.7966
8.0,4.0,45.3149,3043.2935,0.3434
8.0,12.0,48.8092,3707.7058,0.2023
12.0,2.0,25.8202,1120.3806,0.7901
12.0,4.0,46.9598,3220.0015,0.3531
12.0,12.0,51.4563,3870.7982,0.1777
