method,P,MAPE,MAE,RMSE,NRetrieved,adaptation,distancefcn
CBR,3,4.696097640589851,6.554329444232135,5.600318206673104,3,0,euclidean
CBR,3,4.696097640589851,6.554329444232135,5.600318206673104,3,0,sqeuclidean
CBR,3,4.760714383480184,6.613773446127496,5.686882641324309,3,0,seuclidean
CBR,3,5.742672967109676,8.318364344260212,6.829890545646977,3,0,mahalanobis
CBR,3,4.714686462505513,6.612956577372875,5.637037260561942,3,0,cityblock
CBR,3,4.696097640589851,6.554329444232135,5.600318206673104,3,0,minkowski
CBR,3,4.674510321886666,6.441743528991703,5.54399541548463,3,0,chebyshev
CBR,3,4.794063421122595,6.714916644710718,5.655609998810519,3,0,cosine
CBR,3,5.074176001565405,7.108669161813925,6.002785243440584,3,0,correlation
CBR,3,5.094696260140239,6.9439879593216505,5.969335639462045,3,0,hamming
CBR,3,5.116731178733849,6.954530788629599,5.985843297727867,3,0,jaccard
CBR,3,4.694962487431062,6.56846208228014,5.5980427733652585,3,1,euclidean
CBR,3,4.704075010905791,6.596891224856366,5.612865087651444,3,1,sqeuclidean
CBR,3,4.766108782753392,6.628701356392899,5.689745020460733,3,1,seuclidean
CBR,3,5.8165305604097535,8.451874809305014,6.90860360189096,3,1,mahalanobis
CBR,3,4.721325087579859,6.625416753183324,5.641724204022264,3,1,cityblock
CBR,3,4.694962487431052,6.568462082280133,5.59804277336525,3,1,minkowski
CBR,3,4.712482231154295,6.479926328247886,5.591046592258019,3,1,chebyshev
CBR,3,4.867622164019583,6.787109483354001,5.737800954442278,3,1,cosine
CBR,3,5.0796244500078735,7.110224496283044,6.010392773565341,3,1,correlation
CBR,3,5.097353444373878,6.949456651134125,5.972897104198413,3,1,hamming
CBR,3,5.116731178733847,6.954530788629597,5.985843297727865,3,1,jaccard
CBR,3,4.293180872427559,5.883475535680946,5.1174998173699935,10,0,euclidean
CBR,3,4.293180872427559,5.883475535680946,5.1174998173699935,10,0,sqeuclidean
CBR,3,4.271189551222798,5.861239825674654,5.091967211606086,10,0,seuclidean
CBR,3,4.680253488812534,6.741958308159413,5.582116715564833,10,0,mahalanobis
CBR,3,4.271808860811321,5.889583839671249,5.093236911393334,10,0,cityblock
CBR,3,4.293180872427559,5.883475535680946,5.1174998173699935,10,0,minkowski
CBR,3,4.2520447551380105,5.87459046367162,5.078452482308721,10,0,chebyshev
CBR,3,4.192591434401466,6.045582603233898,4.997531010700269,10,0,cosine
CBR,3,4.384678012346559,6.298629566931711,5.237053417371892,10,0,correlation
CBR,3,4.347008340065704,6.031762857607696,5.15631579127958,10,0,hamming
CBR,3,4.147416505185571,6.027550601743469,4.938883570006314,10,0,jaccard
CBR,3,4.317633819418438,5.914195249802251,5.149744802544347,10,1,euclidean
CBR,3,4.374960928940017,5.994110452384902,5.226464457248517,10,1,sqeuclidean
CBR,3,4.2997667605042444,5.897358197525251,5.129812131029008,10,1,seuclidean
CBR,3,4.779713323056633,6.863060545998915,5.680380667682398,10,1,mahalanobis
CBR,3,4.314088031627571,5.935472351241788,5.146488704905706,10,1,cityblock
CBR,3,4.317633819418431,5.914195249802243,5.14974480254434,10,1,minkowski
CBR,3,4.257549056504196,5.870059087151123,5.081517259563628,10,1,chebyshev
CBR,3,4.231075933121172,6.093036099378763,5.033913932298363,10,1,cosine
CBR,3,4.367531408450984,6.291650123056694,5.218894275709404,10,1,correlation
CBR,3,4.348155017641685,6.034606066389657,5.157624384779775,10,1,hamming
CBR,3,4.147416505185572,6.02755060174347,4.938883570006316,10,1,jaccard
CBR,5,4.834890891471711,6.830391780503239,5.755949699858364,3,0,euclidean
CBR,5,4.834890891471711,6.830391780503239,5.755949699858364,3,0,sqeuclidean
CBR,5,4.743000254589866,6.659711763236564,5.641136959034564,3,0,seuclidean
CBR,5,5.101735792066478,7.414494796575665,6.006209329001691,3,0,mahalanobis
CBR,5,4.698745552313025,6.613977933626764,5.606463789115419,3,0,cityblock
