method,N,P,MAPE,MSE,RMSE,MAE,activationfcn,activationfcn1,optimizerfcn,lossfcn,dayx
LR,4,3,17.110876798907768,517.294640467644,19.57035514117139,19.57035514117139,,,,,True
LR,4,5,13.21939017440256,312.971338510356,15.140760609389917,15.140760609389917,,,,,True
LR,4,7,15.44922680119857,422.9765319593854,17.650447988374818,17.650447988374818,,,,,True
LR,4,9,18.36358531496697,597.4062728159975,20.95517633939568,20.95517633939568,,,,,True
LR,6,3,12.210612466050934,268.2374968993851,13.995839564941114,13.995839564941114,,,,,True
LR,6,5,16.846056845379703,501.6658880365762,19.239933688924992,19.239933688924992,,,,,True
LR,6,7,14.614791800416093,381.52973829523296,16.69410911647018,16.69410911647018,,,,,True
LR,6,9,21.432362232120663,812.2734141511063,24.468307909337216,24.468307909337216,,,,,True
LR,8,3,16.37316294209229,474.6363683423773,18.698712151438738,18.698712151438738,,,,,True
LR,8,5,16.080420038649393,460.2130115414071,18.3624303942859,18.3624303942859,,,,,True
LR,8,7,16.59638572446693,492.0446620118023,18.969544709259296,18.969544709259296,,,,,True
LR,8,9,24.638195188898084,1068.205448193936,28.10683843627605,28.10683843627605,,,,,True
LR,10,3,14.318821747033663,366.2272417992286,16.364877023746047,16.364877023746047,,,,,True
LR,10,5,19.242368411797106,657.7099163097741,21.983489453570435,21.983489453570435,,,,,True
LR,10,7,18.81734896973091,629.8764247890155,21.484716874490715,21.484716874490715,,,,,True
LR,10,9,31.48310427278279,1728.839233582955,35.914674496028084,35.914674496028084,,,,,True
LR,4,3,15.890387143458902,456.1157589459078,18.858944757885595,18.20587460082043,,,,,False
LR,4,5,16.716964867813005,502.4470966936413,19.88955754907629,19.14898536665671,,,,,False
LR,4,7,16.697295926211165,499.5261166821722,19.900192466060115,19.125020004291315,,,,,False
LR,4,9,16.653026188423908,496.3499583594758,19.87344715172107,19.074319307831747,,,,,False
LR,6,3,16.519339782358045,488.761541047106,19.53604171153983,18.89730346675541,,,,,False
LR,6,5,16.9364095099381,510.9268430512542,20.085863164110258,19.36816303932981,,,,,False
LR,6,7,16.898164790190783,507.5513312890397,20.085677459638863,19.32456996716088,,,,,False
LR,6,9,16.845975854643978,504.2317166698065,20.057075489932835,19.267449080794908,,,,,False
LR,8,3,11.701983749009344,250.74869925912893,14.131062184248703,13.424108282390462,,,,,False
LR,8,5,12.386911774216436,279.7867796147107,15.022255610008594,14.198922577723184,,,,,False
LR,8,7,12.693622982658004,293.02083575059373,15.42060857681984,14.54955948204241,,,,,False
LR,8,9,13.293335133706783,322.3654125419795,16.16793511318899,15.232925323181234,,,,,False
LR,10,3,15.003584982113104,405.87337553913073,17.855444579344383,17.145520501530857,,,,,False
LR,10,5,16.11821224945067,467.9383988990269,19.25293756117565,18.414425182171826,,,,,False
LR,10,7,16.25870897793445,474.2643351162738,19.43807360767259,18.573921051594933,,,,,False
LR,10,9,16.625832605138395,495.6266847455904,19.885744377583,18.995304307497964,,,,,False
LSTM,4,3,12.6293624319886,410.35891334081725,14.734130188994454,14.734130188994454,relu,relu,adam,mse,True
LSTM,4,5,9.115491840134723,191.7012318005179,10.29110645078662,10.29110645078662,relu,relu,adam,mse,True
LSTM,4,7,11.97056316463265,298.4122793061506,13.7391629050329,13.7391629050329,relu,relu,adam,mse,True
LSTM,4,9,13.243735442537789,361.7547702558025,14.944567319245175,14.944567319245175,relu,relu,adam,mse,True
LSTM,6,3,6.644424924113,94.8293548168661,7.746896009362674,7.746896009362674,relu,relu,adam,mse,True
LSTM,6,5,29.52941656819816,33336.038368568705,33.33455986798364,33.33455986798364,relu,relu,adam,mse,True
LSTM,6,7,7.563155904184269,128.27850539040202,8.987562842645294,8.987562842645294,relu,relu,adam,mse,True
LSTM,8,3,25.05703793065467,268823.1642237398,27.88925802927683,27.88925802927683,relu,relu,adam,mse,True
LSTM,8,5,7.794144777609325,134.27151489953536,9.001528818668314,9.001528818668314,relu,relu,adam,mse,True
LSTM,8,7,12.10091498166334,554.1068734782882,13.353490018216672,13.353490018216672,relu,relu,adam,mse,True
LSTM,8,9,9.461796974605384,558.062952875072,10.715592170918496,10.715592170918496,relu,relu,adam,mse,True
LSTM,10,3,5.803772664480888,77.61022598233899,6.644910537525418,6.644910537525418,relu,relu,adam,mse,True
LSTM,10,5,7.067973387060999,114.95095345917734,8.28049011998076,8.28049011998076,relu,relu,adam,mse,True
LSTM,10,7,7.395184001892813,137.0830085145201,8.642128454869574,8.642128454869574,relu,relu,adam,mse,True
LSTM,10,9,6.832480582252236,120.63814811264584,7.840925242325444,7.840925242325444,relu,relu,adam,mse,True
LSTM,4,3,11.673436866260236,302.1465023080912,14.257116841200038,13.439792089772892,relu,relu,adam,mse,False
LSTM,4,5,18.93853909037568,2392.953296432476,22.337544338196285,20.79031482802805,relu,relu,adam,mse,False
LSTM,4,7,14.64476602080552,455.62803547361233,17.53496317031962,16.441959597557815,relu,relu,adam,mse,False
LSTM,4,9,14.062966494973338,389.0976743647,17.465110542746938,16.279072731207375,relu,relu,adam,mse,False
LSTM,6,3,8.935368237222288,228.37474610900847,10.787872061074784,9.976447746591866,relu,relu,adam,mse,False
LSTM,6,5,11.280379696348431,383.5844650587041,14.210097892678151,12.834332752330164,relu,relu,adam,mse,False
LSTM,6,7,29.186715752882904,35943.46909570795,40.7760806598682,29.666838643498483,relu,relu,adam,mse,False
LSTM,6,9,15.4065839727323,1123.2895392658354,19.33596023411438,17.365571426673313,relu,relu,adam,mse,False
